type,algorithm,condition,N,V_bytes,K,T_ms
[double] 102/336 HeapSort N=500000 Worst ...  done
[double] 103/336 HeapSort N=500000 Uniform ...  done
[double] 104/336 HeapSort N=500000 Normal ...  done
[double] 105/336 HeapSort N=500000 Best ...  done
[double] 106/336 HeapSort N=1000000 Worst ...  done
[double] 107/336 HeapSort N=1000000 Uniform ...  done
[double] 108/336 HeapSort N=1000000 Normal ...  done
[double] 109/336 HeapSort N=1000000 Best ...  done
[double] 110/336 BubbleSort N=10000 Worst ...  done
[double] 111/336 BubbleSort N=10000 Uniform ...  done
[double] 112/336 BubbleSort N=10000 Normal ...  done
[double] 113/336 BubbleSort N=10000 Best ...  done
[double] 114/336 BubbleSort N=20000 Worst ...  done
[double] 115/336 BubbleSort N=20000 Uniform ...  done
[double] 116/336 BubbleSort N=20000 Normal ...  done
[double] 117/336 BubbleSort N=20000 Best ...  done
[double] 118/336 BubbleSort N=50000 Worst ...  done
[double] 119/336 BubbleSort N=50000 Uniform ...  done
[double] BubbleSort timeout, skipping N>=100000
[double] 136/336 SelectionSort N=10000 Worst ...  done
[double] 137/336 SelectionSort N=10000 Uniform ...  done
[double] 138/336 SelectionSort N=10000 Normal ...  done
[double] 139/336 SelectionSort N=10000 Best ...  done
[double] 140/336 SelectionSort N=20000 Worst ...  done
[double] 141/336 SelectionSort N=20000 Uniform ...  done
[double] 142/336 SelectionSort N=20000 Normal ...  done
[double] SelectionSort timeout, skipping N>=50000
[double] 163/336 ShellSort N=10000 Worst ...  done
[double] 164/336 ShellSort N=10000 Uniform ...  done
[double] 165/336 ShellSort N=10000 Normal ...  done
[double] 166/336 ShellSort N=10000 Best ...  done
[double] 167/336 ShellSort N=20000 Worst ...  done
[double] 168/336 ShellSort N=20000 Uniform ...  done
[double] 169/336 ShellSort N=20000 Normal ...  done
[double] 170/336 ShellSort N=20000 Best ...  done
[double] 171/336 ShellSort N=50000 Worst ...  done
[double] 172/336 ShellSort N=50000 Uniform ...  done
[double] 173/336 ShellSort N=50000 Normal ...  done
[double] 174/336 ShellSort N=50000 Best ...  done
[double] 175/336 ShellSort N=100000 Worst ...  done
[double] 176/336 ShellSort N=100000 Uniform ...  done
[double] 177/336 ShellSort N=100000 Normal ...  done
[double] 178/336 ShellSort N=100000 Best ...  done
[double] 179/336 ShellSort N=200000 Worst ...  done
[double] 180/336 ShellSort N=200000 Uniform ...  done
[double] 181/336 ShellSort N=200000 Normal ...  done
[double] 182/336 ShellSort N=200000 Best ...  done
[double] 183/336 ShellSort N=500000 Worst ...  done
[double] 184/336 ShellSort N=500000 Uniform ...  done
[double] 185/336 ShellSort N=500000 Normal ...  done
[double] 186/336 ShellSort N=500000 Best ...  done
[double] 187/336 ShellSort N=1000000 Worst ...  done
[double] 188/336 ShellSort N=1000000 Uniform ...  done
[double] 189/336 ShellSort N=1000000 Normal ...  done
[double] 190/336 ShellSort N=1000000 Best ...  done
[double] 191/336 MultiThreadedInsertionSort N=10000 Worst ...  done
[double] 192/336 MultiThreadedInsertionSort N=10000 Uniform ...  done
[double] MultiThreadedInsertionSort timeout, skipping N>=20000
[double] 217/336 MultiThreadedQuickSort N=10000 Worst ...  done
[double] 218/336 MultiThreadedQuickSort N=10000 Uniform ...  done
[double] 219/336 MultiThreadedQuickSort N=10000 Normal ...  done
[double] 220/336 MultiThreadedQuickSort N=10000 Best ...  done
[double] 221/336 MultiThreadedQuickSort N=20000 Worst ...  done
[double] 222/336 MultiThreadedQuickSort N=20000 Uniform ...  done
[double] 223/336 MultiThreadedQuickSort N=20000 Normal ...  done
[double] 224/336 MultiThreadedQuickSort N=20000 Best ...  done
[double] 225/336 MultiThreadedQuickSort N=50000 Worst ...  done
